Type,Acronym,Organization Name,Logo,Emails,Instagram Handle,Instagram,Website / Main Online Info Page,LinkTree,Facebook,LinkedIn,Tiktok,Twitter,YouTube,GitHub,Teams,Discord,Mailing List
Program Society,BTA,Bachelor of Technology Association,,btechassociation@gmail.com,btechassociation,https://www.instagram.com/btechassociation,https://btechassociation.com/,https://linktr.ee/btechassociation,,,,,,,,https://discord.com/invite/v6thV3Cz2e,
Program Society,CEC,Chem Eng Club,,chem.engclub@gmail.com,macchemengsociety,https://www.instagram.com/macchemengsociety,https://chemengclub.wixsite.com/mcmaster-chemengclub,,,https://www.linkedin.com/in/chemengclub/,https://vm.tiktok.com/ZMjUSfskp/,,,,,,
Program Society,CSS,Civil Engineering Society,,mcmasterces@gmail.com,mcmaster_ces,https://www.instagram.com/mcmaster_ces,https://mcmasterces.wixsite.com/website,,,,,,,,,,
Program Society,CSS,Computer Science Society,,mcss@mcmaster.ca,mcmastercss,https://www.instagram.com/mcmastercss,https://mcmastercs.ca/,,,,,,,,,,
Program Society,ECES,Electrical and Computer Engineering Society,,mcmastereces@gmail.com,mcmaster_eces,https://www.instagram.com/mcmaster_eces,,https://linktr.ee/mcmaster_eces,https://m.facebook.com/MacECES/,,,,,,,,
Program Society,ESSA,Engineering and Society Students’ Association,,macengsociety@gmail.com,essamcmaster,https://www.instagram.com/essamcmaster,,https://linktr.ee/McMaster_ESSA,,,,,,,,,
Program Society,EPS,Engineering Physics Society,,engineeringphysicssociety@gmail.com,engphyssoc,https://www.instagram.com/engphyssoc,,https://linktr.ee/engphyssoc,,,,,,,,,
Program Society,iBMS,iBioMed Society,,ibiomedsociety@mcmaster.ca,ibiomedsociety,https://www.instagram.com/ibiomedsociety,,https://beacons.ai/ibiomedsociety,,,,,,,,,
Program Society,MSES,Materials Science and Engineering Society,,msesocty@mcmaster.ca,macmatlssociety,https://www.instagram.com/macmatlssociety,https://www.mcmastermse.com/,https://linktr.ee/mseSociety,https://www.facebook.com/McMasterMSESociety,https://www.linkedin.com/company/mcmaster-mse-society/mycompany/,https://tiktok.com/@macmaterialssociety,,https://www.youtube.com/channel/UC_mCFyO4rGv008SFR0dpaoQ,,,https://discord.com/invite/FkSMZW5p4x,
Program Society,MEMS,McMaster Engineering and Management Society,,macmems@mcmaster.ca,memsociety,https://www.instagram.com/memsociety,,https://linktr.ee/maceng_mems,https://www.facebook.com/memsociety,https://www.linkedin.com/company/memsociety/mycompany/,https://tiktok.com/@macengandmgmtsociety,,,,,https://discord.gg/zCxnm5KJh5,
Program Society,MMS,McMaster Mechatronics Society,,tron@mcmaster.ca,tronstagram_mac,https://www.instagram.com/tronstagram_mac,https://tron737.wixsite.com/mactronsociety,https://beacons.ai/mactron,,,,,,,,,
Program Society,MSME,McMaster Society of Mechanical Engineering,,msmepresident@gmail.com,macmecheng,https://www.instagram.com/macmecheng,,https://linktr.ee/macmecheng,,,,,,,,,
Program Society,SES,Software Engineering Society,,macsoftwareengsociety@gmail.com,mcmaster_ses,https://www.instagram.com/mcmaster_ses,https://ses.eng.mcmaster.ca/,https://linktr.ee/mcmaster_ses,,,,,,,,,
Group,,"Brewing Club, McMaster",,macbreweryclub@gmail.com,,,,,,,,,,,,,
Group,DARE,"Deep Space Analogue Research Expedition, McMaster",,McMasterDARE@outlook.com,mcmaster.dare,https://www.instagram.com/mcmaster.dare,,,,,,,,,,,
Group,,DeltaHacks,,hello@deltahacks.com,deltahacks,https://www.instagram.com/deltahacks,https://deltahacks.com/,,,,,,,,,,
Group,MDL,"Design League, McMaster",MDL.jpg,mdlmcmaster@gmail.com,mdlmcmaster,https://www.instagram.com/mdlmcmaster,https://www.mcmasterdesignleague.com/,https://linktr.ee/mdlmcmaster,facebook.com/McMasterDesignLeague,ca.linkedin.com/company/mcmaster-design-league,,,https://www.youtube.com/channel/UCJu8GD4UfuH4Kf1ucAGVbaQ,,,,https://msumcmaster.us16.list-manage.com/subscribe?u=accd178b8c443656e1d195853&id=56144ae563
Group,MEM,"Engineering Musical, McMaster",,macengmusical@gmail.com,macengmusical,https://www.instagram.com/macengmusical,https://www.macengmusical.com/,https://linktr.ee/macengmusical,https://www.facebook.com/macengmusical,,,,https://www.youtube.com/user/macengmusical,,,,
Group,EQ,"Engiqueers, McMaster",EQ.jpg,mcmaster@engiqueers.ca,mcmasterengiqueers,https://www.instagram.com/mcmasterengiqueers,https://mcmasterengiqueers.wixsite.com/home/blog,https://linktr.ee/macengiqueers,,,https://vm.tiktok.com/ZMNdn7Q4a/,https://twitter.com/mcmastereq?s=21&t=HNvs7366Fu23YSDAcoys1Q,,,,,
Group,EWB,Engineers Without Borders,,mac@ewb.ca,mcmasterewb,https://www.instagram.com/mcmasterewb,https://www.mcmasteru.ewb.ca/,https://www.instagram.com/mcmasterewb,https://www.facebook.com/ewb.mcmaster/,https://www.linkedin.com/company/macewb,,,,,,,
Group,GDSC,"Google Developer Student Clubs, McMaster",GDSC.png,dsc.mcmasteru@gmail.com,gdscmcmasteru,https://www.instagram.com/gdscmcmasteru,https://gdscmcmasteru.ca/,https://linktr.ee/gdscmcmasteru,https://www.facebook.com/GDSCMcMasterU/,https://www.linkedin.com/company/gdscmcmasteru,,,https://www.youtube.com/channel/UCyxVVPDEYRCjL0lcwoX9lzA,,,https://discord.com/invite/Gme4SfWyzF,
